measure,quantile,time,sex,age,value,ethnic
lx,50%,2022-2024,Female,72,85729,NZ total
lx,50%,2022-2024,Female,73,84573,NZ total
lx,50%,2022-2024,Female,74,83304,NZ total
lx,50%,2022-2024,Female,75,81905,NZ total
lx,50%,2022-2024,Female,76,80355,NZ total
lx,50%,2022-2024,Female,77,78636,NZ total
lx,50%,2022-2024,Female,78,76730,NZ total
lx,50%,2022-2024,Female,79,74617,NZ total
lx,50%,2022-2024,Female,80,72286,NZ total
lx,50%,2022-2024,Female,81,69717,NZ total
lx,50%,2022-2024,Female,82,66897,NZ total
lx,50%,2022-2024,Female,83,63808,NZ total
lx,50%,2022-2024,Female,84,60450,NZ total
lx,50%,2022-2024,Female,85,56809,NZ total
lx,50%,2022-2024,Female,86,52885,NZ total
lx,50%,2022-2024,Female,87,48696,NZ total
lx,50%,2022-2024,Female,88,44275,NZ total
lx,50%,2022-2024,Female,89,39664,NZ total
lx,50%,2022-2024,Female,90,34939,NZ total
lx,50%,2022-2024,Female,91,30183,NZ total
lx,50%,2022-2024,Female,92,25509,NZ total
lx,50%,2022-2024,Female,93,21037,NZ total
lx,50%,2022-2024,Female,94,16893,NZ total
lx,50%,2022-2024,Female,95,13173,NZ total
lx,50%,2022-2024,Female,96,9956,NZ total
lx,50%,2022-2024,Female,97,7281,NZ total
lx,50%,2022-2024,Female,98,5141,NZ total
lx,50%,2022-2024,Female,99,3499,NZ total
lx,50%,2022-2024,Female,100,2296,NZ total
lx,50%,2022-2024,Female,101,1449,NZ total
lx,50%,2022-2024,Female,102,878,NZ total
lx,50%,2022-2024,Female,103,511,NZ total
lx,50%,2022-2024,Female,104,284,NZ total
lx,50%,2022-2024,Female,105+,150,NZ total
lx,50%,2022-2024,Male,0,100000,NZ total
lx,50%,2022-2024,Male,1,99460,NZ total
lx,50%,2022-2024,Male,2,99434,NZ total
lx,50%,2022-2024,Male,3,99414,NZ total
lx,50%,2022-2024,Male,4,99399,NZ total
lx,50%,2022-2024,Male,5,99386,NZ total
lx,50%,2022-2024,Male,6,99375,NZ total
lx,50%,2022-2024,Male,7,99366,NZ total
lx,50%,2022-2024,Male,8,99357,NZ total
lx,50%,2022-2024,Male,9,99349,NZ total
lx,50%,2022-2024,Male,10,99340,NZ total
lx,50%,2022-2024,Male,11,99330,NZ total
lx,50%,2022-2024,Male,12,99320,NZ total
lx,50%,2022-2024,Male,13,99307,NZ total
lx,50%,2022-2024,Male,14,99292,NZ total
lx,50%,2022-2024,Male,15,99273,NZ total
lx,50%,2022-2024,Male,16,99248,NZ total
lx,50%,2022-2024,Male,17,99216,NZ total
lx,50%,2022-2024,Male,18,99173,NZ total
lx,50%,2022-2024,Male,19,99121,NZ total
lx,50%,2022-2024,Male,20,99061,NZ total
lx,50%,2022-2024,Male,21,98997,NZ total
